"","ZIPCODE","air"
"1","10001",64
"2","10002",25
"3","10003",102
"4","10007",0
"5","10009",102
"6","10010",9
"7","10011",34
"8","10012",6
"9","10013",75
"10","10014",20
"11","10016",20
"12","10017",57
"13","10018",75
"14","10019",15
"15","10021",3
"16","10022",35
"17","10023",2
"18","10025",32
"19","10026",2
"20","10027",81
"21","10029",44
"22","10030",0
"23","10031",9
"24","10032",1
"25","10034",23
"26","10035",67
"27","10036",32
"28","10037",3
"29","10039",3
"30","10040",0
"31","10065",1
"32","10069",1
"33","10103",0
"34","10121",0
"35","10128",0
"36","10173",1
"37","10177",1
"38","10301",56
"39","10302",0
"40","10303",9
"41","10304",24
"42","10305",2
"43","10306",0
"44","10308",4
"45","10309",2
"46","10310",2
"47","10312",1
"48","10314",14
"49","10451",76
"50","10452",120
"51","10453",87
"52","10454",13
"53","10455",6
"54","10456",3
"55","10457",29
"56","10458",49
"57","10459",3
"58","10460",58
"59","10461",28
"60","10462",11
"61","10463",1
"62","10464",0
"63","10466",66
"64","10467",44
"65","10468",13
"66","10469",28
"67","10470",31
"68","10471",4
"69","10472",3
"70","10473",1
"71","10474",3
"72","11001",1
"73","11004",6
"74","11101",140
"75","11102",20
"76","11103",7
"77","11104",19
"78","11105",10
"79","11106",25
"80","11201",19
"81","11203",1
"82","11204",0
"83","11205",41
"84","11206",150
"85","11207",133
"86","11208",90
"87","11209",8
"88","11210",27
"89","11211",14
"90","11212",12
"91","11213",0
"92","11214",0
"93","11215",10
"94","11216",5
"95","11217",9
"96","11218",49
"97","11219",8
"98","11220",0
"99","11221",53
"100","11222",17
"101","11223",8
"102","11224",23
"103","11225",9
"104","11226",27
"105","11228",4
"106","11229",29
"107","11230",40
"108","11231",20
"109","11232",12
"110","11233",29
"111","11234",0
"112","11235",2
"113","11236",18
"114","11237",4
"115","11238",25
"116","11249",17
"117","11354",14
"118","11355",18
"119","11356",0
"120","11357",1
"121","11358",2
"122","11361",0
"123","11363",4
"124","11364",5
"125","11365",0
"126","11366",0
"127","11367",0
"128","11368",116
"129","11369",5
"130","11370",0
"131","11372",1
"132","11373",6
"133","11374",2
"134","11375",26
"135","11377",42
"136","11378",1
"137","11379",5
"138","11385",12
"139","11412",17
"140","11413",21
"141","11414",0
"142","11415",0
"143","11416",12
"144","11417",20
"145","11418",8
"146","11419",9
"147","11420",5
"148","11421",22
"149","11423",0
"150","11426",2
"151","11427",1
"152","11429",1
"153","11432",71
"154","11433",14
"155","11434",11
"156","11435",97
"157","11436",0
"158","11691",36
"159","11692",3
"160","11693",2
"161","11694",24
