"","ZIPCODE","hazadous"
"1","10001",127
"2","10002",3
"3","10003",10
"4","10007",1
"5","10009",7
"6","10010",11
"7","10011",70
"8","10012",11
"9","10013",145
"10","10014",31
"11","10016",19
"12","10017",56
"13","10018",122
"14","10019",38
"15","10021",5
"16","10022",35
"17","10023",7
"18","10025",2
"19","10026",7
"20","10027",159
"21","10029",123
"22","10030",5
"23","10031",30
"24","10032",2
"25","10034",74
"26","10035",164
"27","10036",52
"28","10037",5
"29","10039",5
"30","10040",1
"31","10065",6
"32","10069",2
"33","10103",1
"34","10121",1
"35","10128",3
"36","10173",1
"37","10177",1
"38","10301",44
"39","10302",87
"40","10303",8
"41","10304",65
"42","10305",4
"43","10306",3
"44","10308",4
"45","10309",9
"46","10310",2
"47","10312",1
"48","10314",13
"49","10451",154
"50","10452",133
"51","10453",105
"52","10454",58
"53","10455",12
"54","10456",48
"55","10457",43
"56","10458",81
"57","10459",6
"58","10460",58
"59","10461",31
"60","10462",15
"61","10463",7
"62","10464",2
"63","10466",127
"64","10467",88
"65","10468",23
"66","10469",31
"67","10470",39
"68","10471",1
"69","10472",3
"70","10473",1
"71","10474",19
"72","11001",5
"73","11004",15
"74","11101",415
"75","11102",36
"76","11103",8
"77","11104",14
"78","11105",44
"79","11106",70
"80","11201",112
"81","11203",1
"82","11204",4
"83","11205",103
"84","11206",141
"85","11207",209
"86","11208",178
"87","11209",15
"88","11210",40
"89","11211",314
"90","11212",16
"91","11213",3
"92","11214",3
"93","11215",45
"94","11216",85
"95","11217",35
"96","11218",57
"97","11219",15
"98","11220",18
"99","11221",50
"100","11222",235
"101","11223",17
"102","11224",89
"103","11225",13
"104","11226",57
"105","11228",6
"106","11229",12
"107","11230",21
"108","11231",26
"109","11232",19
"110","11233",111
"111","11234",46
"112","11235",4
"113","11236",53
"114","11237",6
"115","11238",98
"116","11249",162
"117","11354",24
"118","11355",27
"119","11356",11
"120","11357",5
"121","11358",2
"122","11361",6
"123","11363",4
"124","11364",6
"125","11365",1
"126","11366",9
"127","11367",1
"128","11368",131
"129","11369",26
"130","11370",1
"131","11372",3
"132","11373",13
"133","11374",1
"134","11375",32
"135","11377",62
"136","11378",3
"137","11379",7
"138","11385",21
"139","11412",41
"140","11413",29
"141","11414",5
"142","11415",3
"143","11416",26
"144","11417",42
"145","11418",45
"146","11419",49
"147","11420",5
"148","11421",53
"149","11423",26
"150","11426",6
"151","11427",1
"152","11429",1
"153","11432",89
"154","11433",130
"155","11434",43
"156","11435",219
"157","11436",10
"158","11691",52
"159","11692",6
"160","11693",2
"161","11694",10
