"","ZIPCODE","noise"
"1","10001",154
"2","10002",137
"3","10003",46
"4","10007",2
"5","10009",91
"6","10010",17
"7","10011",67
"8","10012",7
"9","10013",108
"10","10014",22
"11","10016",28
"12","10017",58
"13","10018",172
"14","10019",17
"15","10021",4
"16","10022",32
"17","10023",3
"18","10025",3
"19","10026",0
"20","10027",93
"21","10029",112
"22","10030",4
"23","10031",5
"24","10032",1
"25","10034",73
"26","10035",138
"27","10036",58
"28","10037",5
"29","10039",1
"30","10040",1
"31","10065",7
"32","10069",2
"33","10103",0
"34","10121",1
"35","10128",5
"36","10173",1
"37","10177",1
"38","10301",34
"39","10302",0
"40","10303",2
"41","10304",61
"42","10305",2
"43","10306",2
"44","10308",0
"45","10309",0
"46","10310",0
"47","10312",0
"48","10314",0
"49","10451",274
"50","10452",133
"51","10453",102
"52","10454",45
"53","10455",15
"54","10456",3
"55","10457",12
"56","10458",70
"57","10459",14
"58","10460",72
"59","10461",14
"60","10462",3
"61","10463",2
"62","10464",0
"63","10466",83
"64","10467",70
"65","10468",23
"66","10469",24
"67","10470",39
"68","10471",1
"69","10472",3
"70","10473",1
"71","10474",3
"72","11001",5
"73","11004",16
"74","11101",87
"75","11102",12
"76","11103",6
"77","11104",17
"78","11105",1
"79","11106",17
"80","11201",148
"81","11203",1
"82","11204",2
"83","11205",81
"84","11206",132
"85","11207",202
"86","11208",149
"87","11209",6
"88","11210",1
"89","11211",154
"90","11212",42
"91","11213",5
"92","11214",0
"93","11215",9
"94","11216",90
"95","11217",41
"96","11218",22
"97","11219",15
"98","11220",3
"99","11221",75
"100","11222",132
"101","11223",11
"102","11224",47
"103","11225",7
"104","11226",6
"105","11228",6
"106","11229",1
"107","11230",15
"108","11231",52
"109","11232",1
"110","11233",271
"111","11234",42
"112","11235",0
"113","11236",0
"114","11237",12
"115","11238",89
"116","11249",113
"117","11354",43
"118","11355",23
"119","11356",15
"120","11357",2
"121","11358",0
"122","11361",0
"123","11363",4
"124","11364",6
"125","11365",1
"126","11366",0
"127","11367",0
"128","11368",120
"129","11369",17
"130","11370",0
"131","11372",3
"132","11373",10
"133","11374",4
"134","11375",31
"135","11377",67
"136","11378",0
"137","11379",5
"138","11385",1
"139","11412",0
"140","11413",20
"141","11414",0
"142","11415",1
"143","11416",25
"144","11417",45
"145","11418",25
"146","11419",39
"147","11420",5
"148","11421",34
"149","11423",31
"150","11426",6
"151","11427",1
"152","11429",0
"153","11432",182
"154","11433",160
"155","11434",13
"156","11435",201
"157","11436",1
"158","11691",49
"159","11692",0
"160","11693",34
"161","11694",95
